year;age_m;age_w;count
2007;30 ;34 ;62
2007;30 ;35 ;36
2007;30 ;36 ;24
2007;30 ;37 ;20
2007;30 ;38 ;11
2007;30 ;39 ;17
2007;30 ;40 ;11
2007;30 ;41 ;6
2007;30 ;42 ;7
2007;30 ;43 ;6
2007;30 ;44 ;2
2007;30 ;45 ;5
2007;30 ;46 ;6
2007;30 ;47 ;3
2007;30 ;48 ;3
2007;30 ;49 ;3
2007;30 ;50 ;1
2007;30 ;51 ;1
2007;30 ;52 ;3
2007;30 ;53 ;0
2007;30 ;54 ;0
2007;30 ;55 ;2
2007;30 ;56 ;0
2007;30 ;57 ;1
2007;30 ;58 ;0
2007;30 ;59 ;1
2007;30 ;60 ;1
2007;30 ;61 ;0
2007;30 ;62 ;1
2007;30 ;63 ;1
2007;30 ;64 ;0
2007;30 ;65 ;0
2007;30 ;66 ;0
2007;30 ;67 ;0
2007;30 ;68 ;0
2007;30 ;69 ;0
2007;30 ;70 ;0
2007;30 ;71 ;0
2007;30 ;72 ;0
2007;30 ;73 ;0
2007;30 ;74 ;1
2007;30 ;75 ;0
2007;30 ;76 ;0
2007;30 ;77 ;0
2007;30 ;78 ;0
2007;30 ;79 ;0
2007;30 ;80 ;0
2007;30 ;81 ;0
2007;30 ;82 ;0
2007;30 ;83 ;0
2007;30 ;84 ;0
2007;30 ;85 ;0
2007;30 ;86 ;0
2007;30 ;87 ;0
2007;30 ;88 ;0
2007;30 ;89 ;0
2007;30 ;90 ;0
2007;30 ;91 ;0
2007;30 ;92 ;0
2007;30 ;93 ;0
2007;30 ;94 ;0
2007;30 ;95 ;0
2007;30 ;99 ;0
2007;30 ;100;0
2007;31 ;18 ;5
2007;31 ;19 ;10
2007;31 ;20 ;9
2007;31 ;21 ;21
2007;31 ;22 ;40
2007;31 ;23 ;42
2007;31 ;24 ;76
2007;31 ;25 ;113
2007;31 ;26 ;145
2007;31 ;27 ;181
2007;31 ;28 ;245
2007;31 ;29 ;265
2007;31 ;30 ;259
2007;31 ;31 ;260
2007;31 ;32 ;145
2007;31 ;33 ;100
2007;31 ;34 ;88
