year;age_group_m;age_group_w;duration;divorces
2001;50-59 years;20-29 years;0-4 years;15
2001;50-59 years;20-29 years;5-9 years;25
2001;50-59 years;20-29 years;10-14 years;2
2001;50-59 years;20-29 years;15-19 years;0
2001;50-59 years;20-29 years;20 years or more;0
2001;50-59 years;30-39 years;0-4 years;40
2001;50-59 years;30-39 years;5-9 years;126
2001;50-59 years;30-39 years;10-14 years;87
2001;50-59 years;30-39 years;15-19 years;33
2001;50-59 years;30-39 years;20 years or more;5
2001;50-59 years;40-49 years;0-4 years;39
2001;50-59 years;40-49 years;5-9 years;112
2001;50-59 years;40-49 years;10-14 years;174
2001;50-59 years;40-49 years;15-19 years;235
2001;50-59 years;40-49 years;20 years or more;568
2001;50-59 years;50-59 years;0-4 years;24
2001;50-59 years;50-59 years;5-9 years;57
2001;50-59 years;50-59 years;10-14 years;61
2001;50-59 years;50-59 years;15-19 years;62
2001;50-59 years;50-59 years;20 years or more;1030
2001;50-59 years;60-69 years;0-4 years;2
2001;50-59 years;60-69 years;5-9 years;11
2001;50-59 years;60-69 years;10-14 years;13
2001;50-59 years;60-69 years;15-19 years;13
2001;50-59 years;60-69 years;20 years or more;76
2001;50-59 years;70-79 years;0-4 years;0
2001;50-59 years;70-79 years;5-9 years;1
2001;50-59 years;70-79 years;10-14 years;0
2001;50-59 years;70-79 years;15-19 years;0
2001;50-59 years;70-79 years;20 years or more;3
2001;50-59 years;80-89 years;0-4 years;0
2001;50-59 years;80-89 years;5-9 years;0
2001;50-59 years;80-89 years;10-14 years;0
2001;50-59 years;80-89 years;15-19 years;0
2001;50-59 years;80-89 years;20 years or more;0
2001;50-59 years;90 years or more;0-4 years;0
2001;50-59 years;90 years or more;5-9 years;0
2001;50-59 years;90 years or more;10-14 years;0
2001;50-59 years;90 years or more;15-19 years;0
2001;50-59 years;90 years or more;20 years or more;0
2001;60-69 years;Less than 20 years;0-4 years;0
2001;60-69 years;Less than 20 years;5-9 years;0
2001;60-69 years;Less than 20 years;10-14 years;0
2001;60-69 years;Less than 20 years;15-19 years;0
2001;60-69 years;Less than 20 years;20 years or more;0
2001;60-69 years;20-29 years;0-4 years;3
2001;60-69 years;20-29 years;5-9 years;3
2001;60-69 years;20-29 years;10-14 years;1
2001;60-69 years;20-29 years;15-19 years;0
2001;60-69 years;20-29 years;20 years or more;0
2001;60-69 years;30-39 years;0-4 years;9
2001;60-69 years;30-39 years;5-9 years;32
2001;60-69 years;30-39 years;10-14 years;6
2001;60-69 years;30-39 years;15-19 years;5
2001;60-69 years;30-39 years;20 years or more;0
2001;60-69 years;40-49 years;0-4 years;7
2001;60-69 years;40-49 years;5-9 years;22
2001;60-69 years;40-49 years;10-14 years;21
2001;60-69 years;40-49 years;15-19 years;21
2001;60-69 years;40-49 years;20 years or more;35
2001;60-69 years;50-59 years;0-4 years;5
2001;60-69 years;50-59 years;5-9 years;12
2001;60-69 years;50-59 years;10-14 years;25
2001;60-69 years;50-59 years;15-19 years;21
2001;60-69 years;50-59 years;20 years or more;230
2001;60-69 years;60-69 years;0-4 years;2
2001;60-69 years;60-69 years;5-9 years;7
2001;60-69 years;60-69 years;10-14 years;6
2001;60-69 years;60-69 years;15-19 years;7
2001;60-69 years;60-69 years;20 years or more;285
2001;60-69 years;70-79 years;0-4 years;0
2001;60-69 years;70-79 years;5-9 years;0
2001;60-69 years;70-79 years;10-14 years;1
2001;60-69 years;70-79 years;15-19 years;0
2001;60-69 years;70-79 years;20 years or more;31
2001;60-69 years;80-89 years;0-4 years;0
2001;60-69 years;80-89 years;5-9 years;0
2001;60-69 years;80-89 years;10-14 years;0
2001;60-69 years;80-89 years;15-19 years;0
2001;60-69 years;80-89 years;20 years or more;0
2001;60-69 years;90 years or more;0-4 years;0
2001;60-69 years;90 years or more;5-9 years;0
2001;60-69 years;90 years or more;10-14 years;0
2001;60-69 years;90 years or more;15-19 years;0
2001;60-69 years;90 years or more;20 years or more;0
2001;70-79 years;Less than 20 years;0-4 years;0
2001;70-79 years;Less than 20 years;5-9 years;0
2001;70-79 years;Less than 20 years;10-14 years;0
2001;70-79 years;Less than 20 years;15-19 years;0
2001;70-79 years;Less than 20 years;20 years or more;0
2001;70-79 years;20-29 years;0-4 years;2
2001;70-79 years;20-29 years;5-9 years;0
2001;70-79 years;20-29 years;10-14 years;0
2001;70-79 years;20-29 years;15-19 years;0
2001;70-79 years;20-29 years;20 years or more;0
2001;70-79 years;30-39 years;0-4 years;1
2001;70-79 years;30-39 years;5-9 years;3
2001;70-79 years;30-39 years;10-14 years;0
2001;70-79 years;30-39 years;15-19 years;0
2001;70-79 years;30-39 years;20 years or more;0
2001;70-79 years;40-49 years;0-4 years;2
2001;70-79 years;40-49 years;5-9 years;5
2001;70-79 years;40-49 years;10-14 years;3
2001;70-79 years;40-49 years;15-19 years;2
2001;70-79 years;40-49 years;20 years or more;2
2001;70-79 years;50-59 years;0-4 years;0
2001;70-79 years;50-59 years;5-9 years;4
2001;70-79 years;50-59 years;10-14 years;3
2001;70-79 years;50-59 years;15-19 years;4
2001;70-79 years;50-59 years;20 years or more;12
2001;70-79 years;60-69 years;0-4 years;4
2001;70-79 years;60-69 years;5-9 years;3
2001;70-79 years;60-69 years;10-14 years;2
2001;70-79 years;60-69 years;15-19 years;4
2001;70-79 years;60-69 years;20 years or more;55
2001;70-79 years;70-79 years;0-4 years;3
2001;70-79 years;70-79 years;5-9 years;0
2001;70-79 years;70-79 years;10-14 years;0
2001;70-79 years;70-79 years;15-19 years;1
2001;70-79 years;70-79 years;20 years or more;44
2001;70-79 years;80-89 years;0-4 years;0
2001;70-79 years;80-89 years;5-9 years;0
2001;70-79 years;80-89 years;10-14 years;0
2001;70-79 years;80-89 years;15-19 years;0
2001;70-79 years;80-89 years;20 years or more;2
2001;70-79 years;90 years or more;0-4 years;0
2001;70-79 years;90 years or more;5-9 years;0
2001;70-79 years;90 years or more;10-14 years;0
2001;70-79 years;90 years or more;15-19 years;0
2001;70-79 years;90 years or more;20 years or more;0
2001;80-89 years;Less than 20 years;0-4 years;0
2001;80-89 years;Less than 20 years;5-9 years;0
2001;80-89 years;Less than 20 years;10-14 years;0
2001;80-89 years;Less than 20 years;15-19 years;0
2001;80-89 years;Less than 20 years;20 years or more;0
2001;80-89 years;20-29 years;0-4 years;0
2001;80-89 years;20-29 years;5-9 years;0
2001;80-89 years;20-29 years;10-14 years;0
2001;80-89 years;20-29 years;15-19 years;0
2001;80-89 years;20-29 years;20 years or more;0
2001;80-89 years;30-39 years;0-4 years;0
2001;80-89 years;30-39 years;5-9 years;3
2001;80-89 years;30-39 years;10-14 years;0
2001;80-89 years;30-39 years;15-19 years;0
2001;80-89 years;30-39 years;20 years or more;0
2001;80-89 years;40-49 years;0-4 years;0
2001;80-89 years;40-49 years;5-9 years;0
2001;80-89 years;40-49 years;10-14 years;0
2001;80-89 years;40-49 years;15-19 years;1
2001;80-89 years;40-49 years;20 years or more;2
2001;80-89 years;50-59 years;0-4 years;0
2001;80-89 years;50-59 years;5-9 years;1
2001;80-89 years;50-59 years;10-14 years;0
2001;80-89 years;50-59 years;15-19 years;0
2001;80-89 years;50-59 years;20 years or more;0
2001;80-89 years;60-69 years;0-4 years;0
2001;80-89 years;60-69 years;5-9 years;0
2001;80-89 years;60-69 years;10-14 years;0
2001;80-89 years;60-69 years;15-19 years;0
2001;80-89 years;60-69 years;20 years or more;5
2001;80-89 years;70-79 years;0-4 years;0
2001;80-89 years;70-79 years;5-9 years;0
2001;80-89 years;70-79 years;10-14 years;0
2001;80-89 years;70-79 years;15-19 years;0
2001;80-89 years;70-79 years;20 years or more;9
2001;80-89 years;80-89 years;0-4 years;0
2001;80-89 years;80-89 years;5-9 years;0
2001;80-89 years;80-89 years;10-14 years;0
2001;80-89 years;80-89 years;15-19 years;0
2001;80-89 years;80-89 years;20 years or more;4
2001;80-89 years;90 years or more;0-4 years;0
2001;80-89 years;90 years or more;5-9 years;0
2001;80-89 years;90 years or more;10-14 years;0
2001;80-89 years;90 years or more;15-19 years;0
2001;80-89 years;90 years or more;20 years or more;0
2001;90 years or more;Less than 20 years;0-4 years;0
2001;90 years or more;Less than 20 years;5-9 years;0
2001;90 years or more;Less than 20 years;10-14 years;0
2001;90 years or more;Less than 20 years;15-19 years;0
2001;90 years or more;Less than 20 years;20 years or more;0
2001;90 years or more;20-29 years;0-4 years;0
2001;90 years or more;20-29 years;5-9 years;0
2001;90 years or more;20-29 years;10-14 years;0
2001;90 years or more;20-29 years;15-19 years;0
2001;90 years or more;20-29 years;20 years or more;0
2001;90 years or more;30-39 years;0-4 years;0
2001;90 years or more;30-39 years;5-9 years;0
2001;90 years or more;30-39 years;10-14 years;0
2001;90 years or more;30-39 years;15-19 years;0
2001;90 years or more;30-39 years;20 years or more;0
2001;90 years or more;40-49 years;0-4 years;0
2001;90 years or more;40-49 years;5-9 years;0
2001;90 years or more;40-49 years;10-14 years;0
2001;90 years or more;40-49 years;15-19 years;0
2001;90 years or more;40-49 years;20 years or more;0
2001;90 years or more;50-59 years;0-4 years;0
2001;90 years or more;50-59 years;5-9 years;0
2001;90 years or more;50-59 years;10-14 years;0
2001;90 years or more;50-59 years;15-19 years;0
2001;90 years or more;50-59 years;20 years or more;0
2001;90 years or more;60-69 years;0-4 years;0
2001;90 years or more;60-69 years;5-9 years;0
2001;90 years or more;60-69 years;10-14 years;0
2001;90 years or more;60-69 years;15-19 years;0
2001;90 years or more;60-69 years;20 years or more;0
2001;90 years or more;70-79 years;0-4 years;0
2001;90 years or more;70-79 years;5-9 years;0
2001;90 years or more;70-79 years;10-14 years;0
2001;90 years or more;70-79 years;15-19 years;0
2001;90 years or more;70-79 years;20 years or more;0
2001;90 years or more;80-89 years;0-4 years;0
2001;90 years or more;80-89 years;5-9 years;0
2001;90 years or more;80-89 years;10-14 years;0
2001;90 years or more;80-89 years;15-19 years;0
2001;90 years or more;80-89 years;20 years or more;0
2001;90 years or more;90 years or more;0-4 years;0
2001;90 years or more;90 years or more;5-9 years;0
2001;90 years or more;90 years or more;10-14 years;0
2001;90 years or more;90 years or more;15-19 years;0
2001;90 years or more;90 years or more;20 years or more;0
2002;Less than 20 years;Less than 20 years;0-4 years;0
2002;Less than 20 years;Less than 20 years;5-9 years;0
2002;Less than 20 years;Less than 20 years;10-14 years;0
2002;Less than 20 years;Less than 20 years;15-19 years;0
2002;Less than 20 years;Less than 20 years;20 years or more;0
2002;Less than 20 years;20-29 years;0-4 years;1
2002;Less than 20 years;20-29 years;5-9 years;0
2002;Less than 20 years;20-29 years;10-14 years;0
2002;Less than 20 years;20-29 years;15-19 years;0
2002;Less than 20 years;20-29 years;20 years or more;0
2002;Less than 20 years;30-39 years;0-4 years;0
2002;Less than 20 years;30-39 years;5-9 years;0
2002;Less than 20 years;30-39 years;10-14 years;0
2002;Less than 20 years;30-39 years;15-19 years;0
2002;Less than 20 years;30-39 years;20 years or more;0
2002;Less than 20 years;40-49 years;0-4 years;0
2002;Less than 20 years;40-49 years;5-9 years;0
2002;Less than 20 years;40-49 years;10-14 years;0
2002;Less than 20 years;40-49 years;15-19 years;0
2002;Less than 20 years;40-49 years;20 years or more;0
2002;Less than 20 years;50-59 years;0-4 years;0
2002;Less than 20 years;50-59 years;5-9 years;0
2002;Less than 20 years;50-59 years;10-14 years;0
2002;Less than 20 years;50-59 years;15-19 years;0
2002;Less than 20 years;50-59 years;20 years or more;0
2002;Less than 20 years;60-69 years;0-4 years;0
2002;Less than 20 years;60-69 years;5-9 years;0
2002;Less than 20 years;60-69 years;10-14 years;0
2002;Less than 20 years;60-69 years;15-19 years;0
2002;Less than 20 years;60-69 years;20 years or more;0
2002;Less than 20 years;70-79 years;0-4 years;0
2002;Less than 20 years;70-79 years;5-9 years;0
2002;Less than 20 years;70-79 years;10-14 years;0
2002;Less than 20 years;70-79 years;15-19 years;0
2002;Less than 20 years;70-79 years;20 years or more;0
2002;Less than 20 years;80-89 years;0-4 years;0
2002;Less than 20 years;80-89 years;5-9 years;0
2002;Less than 20 years;80-89 years;10-14 years;0
2002;Less than 20 years;80-89 years;15-19 years;0
2002;Less than 20 years;80-89 years;20 years or more;0
2002;Less than 20 years;90 years or more;0-4 years;0
2002;Less than 20 years;90 years or more;5-9 years;0
2002;Less than 20 years;90 years or more;10-14 years;0
2002;Less than 20 years;90 years or more;15-19 years;0
2002;Less than 20 years;90 years or more;20 years or more;0
2002;20-29 years;Less than 20 years;0-4 years;8
2002;20-29 years;Less than 20 years;5-9 years;0
2002;20-29 years;Less than 20 years;10-14 years;0
2002;20-29 years;Less than 20 years;15-19 years;0
2002;20-29 years;Less than 20 years;20 years or more;0
2002;20-29 years;20-29 years;0-4 years;434
2002;20-29 years;20-29 years;5-9 years;214
2002;20-29 years;20-29 years;10-14 years;8
2002;20-29 years;20-29 years;15-19 years;0
2002;20-29 years;20-29 years;20 years or more;0
2002;20-29 years;30-39 years;0-4 years;97
2002;20-29 years;30-39 years;5-9 years;128
2002;20-29 years;30-39 years;10-14 years;3
2002;20-29 years;30-39 years;15-19 years;0
2002;20-29 years;30-39 years;20 years or more;0
2002;20-29 years;40-49 years;0-4 years;9
2002;20-29 years;40-49 years;5-9 years;27
2002;20-29 years;40-49 years;10-14 years;0
2002;20-29 years;40-49 years;15-19 years;0
2002;20-29 years;40-49 years;20 years or more;0
2002;20-29 years;50-59 years;0-4 years;3
2002;20-29 years;50-59 years;5-9 years;6
2002;20-29 years;50-59 years;10-14 years;0
2002;20-29 years;50-59 years;15-19 years;0
2002;20-29 years;50-59 years;20 years or more;0
2002;20-29 years;60-69 years;0-4 years;2
2002;20-29 years;60-69 years;5-9 years;2
2002;20-29 years;60-69 years;10-14 years;0
2002;20-29 years;60-69 years;15-19 years;0
2002;20-29 years;60-69 years;20 years or more;0
2002;20-29 years;70-79 years;0-4 years;0
2002;20-29 years;70-79 years;5-9 years;1
2002;20-29 years;70-79 years;10-14 years;0
2002;20-29 years;70-79 years;15-19 years;0
2002;20-29 years;70-79 years;20 years or more;0
2002;20-29 years;80-89 years;0-4 years;0
2002;20-29 years;80-89 years;5-9 years;0
2002;20-29 years;80-89 years;10-14 years;0
2002;20-29 years;80-89 years;15-19 years;0
2002;20-29 years;80-89 years;20 years or more;0
2002;20-29 years;90 years or more;0-4 years;0
2002;20-29 years;90 years or more;5-9 years;0
2002;20-29 years;90 years or more;10-14 years;0
2002;20-29 years;90 years or more;15-19 years;0
2002;20-29 years;90 years or more;20 years or more;0
2002;30-39 years;Less than 20 years;0-4 years;1
2002;30-39 years;Less than 20 years;5-9 years;0
2002;30-39 years;Less than 20 years;10-14 years;0
2002;30-39 years;Less than 20 years;15-19 years;0
2002;30-39 years;Less than 20 years;20 years or more;0
2002;30-39 years;20-29 years;0-4 years;422
2002;30-39 years;20-29 years;5-9 years;526
2002;30-39 years;20-29 years;10-14 years;39
2002;30-39 years;20-29 years;15-19 years;0
2002;30-39 years;20-29 years;20 years or more;0
2002;30-39 years;30-39 years;0-4 years;618
2002;30-39 years;30-39 years;5-9 years;1962
2002;30-39 years;30-39 years;10-14 years;1296
2002;30-39 years;30-39 years;15-19 years;211
2002;30-39 years;30-39 years;20 years or more;3
2002;30-39 years;40-49 years;0-4 years;70
2002;30-39 years;40-49 years;5-9 years;342
2002;30-39 years;40-49 years;10-14 years;203
2002;30-39 years;40-49 years;15-19 years;65
2002;30-39 years;40-49 years;20 years or more;3
2002;30-39 years;50-59 years;0-4 years;12
2002;30-39 years;50-59 years;5-9 years;118
2002;30-39 years;50-59 years;10-14 years;22
2002;30-39 years;50-59 years;15-19 years;0
2002;30-39 years;50-59 years;20 years or more;0
2002;30-39 years;60-69 years;0-4 years;0
2002;30-39 years;60-69 years;5-9 years;17
2002;30-39 years;60-69 years;10-14 years;2
2002;30-39 years;60-69 years;15-19 years;0
2002;30-39 years;60-69 years;20 years or more;0
2002;30-39 years;70-79 years;0-4 years;0
2002;30-39 years;70-79 years;5-9 years;6
2002;30-39 years;70-79 years;10-14 years;1
2002;30-39 years;70-79 years;15-19 years;0
2002;30-39 years;70-79 years;20 years or more;0
2002;30-39 years;80-89 years;0-4 years;0
2002;30-39 years;80-89 years;5-9 years;0
2002;30-39 years;80-89 years;10-14 years;0
2002;30-39 years;80-89 years;15-19 years;0
2002;30-39 years;80-89 years;20 years or more;0
2002;30-39 years;90 years or more;0-4 years;0
2002;30-39 years;90 years or more;5-9 years;0
2002;30-39 years;90 years or more;10-14 years;0
2002;30-39 years;90 years or more;15-19 years;0
2002;30-39 years;90 years or more;20 years or more;0
2002;40-49 years;Less than 20 years;0-4 years;0
2002;40-49 years;Less than 20 years;5-9 years;0
2002;40-49 years;Less than 20 years;10-14 years;0
2002;40-49 years;Less than 20 years;15-19 years;0
2002;40-49 years;Less than 20 years;20 years or more;0
2002;40-49 years;20-29 years;0-4 years;57
2002;40-49 years;20-29 years;5-9 years;71
2002;40-49 years;20-29 years;10-14 years;2
2002;40-49 years;20-29 years;15-19 years;0
2002;40-49 years;20-29 years;20 years or more;0
2002;40-49 years;30-39 years;0-4 years;159
2002;40-49 years;30-39 years;5-9 years;670
2002;40-49 years;30-39 years;10-14 years;739
2002;40-49 years;30-39 years;15-19 years;432
2002;40-49 years;30-39 years;20 years or more;40
2002;40-49 years;40-49 years;0-4 years;77
2002;40-49 years;40-49 years;5-9 years;358
2002;40-49 years;40-49 years;10-14 years;634
2002;40-49 years;40-49 years;15-19 years;1000
2002;40-49 years;40-49 years;20 years or more;910
2002;40-49 years;50-59 years;0-4 years;7
2002;40-49 years;50-59 years;5-9 years;76
2002;40-49 years;50-59 years;10-14 years;89
2002;40-49 years;50-59 years;15-19 years;79
2002;40-49 years;50-59 years;20 years or more;89
2002;40-49 years;60-69 years;0-4 years;2
2002;40-49 years;60-69 years;5-9 years;9
2002;40-49 years;60-69 years;10-14 years;4
